"x";"y"
"90";-38.1232897240263;-19.6277901968329
"91";-38.3799702181773;-19.3858700611405
"92";-39.3770086045306;-19.6548759963915
"93";-38.1208794613686;-19.123738922572
"94";-38.682454784775;-19.1584214301109
"95";-38.3827434774965;-19.697786143777
"96";-38.2591108454875;-19.8052567555207
"97";-38.1442173951532;-18.9852114326321
"98";-38.0303397862159;-19.5197661430261
"99";-38.0026934594375;-19.1986743307302
"100";-38.2796939579291;-20.0640876298737
"101";-38.1411271584751;-19.5689623569734
"102";-38.6586653141696;-18.9160228517473
"103";-38.0758298943363;-19.7905158800815
"104";-37.9149904129744;-19.0632531368251
"105";-37.4366642165265;-20.6354426165143
"106";-37.9924109525516;-19.0302217007173
"107";-37.3386861243782;-20.5783639977694
"108";-38.0659192483653;-18.986684377038
"109";-39.5252530785612;-19.7173886762732
"110";-38.1209792387405;-19.6974900005293
"111";-38.3584180252629;-19.3111822751892
"112";-38.2499366528369;-18.9410307228536
"113";-38.2169040182464;-18.9479188149704
"114";-38.1817027014765;-19.9379164451134
"115";-39.4421490930785;-19.689145752658
"116";-38.2907608538912;-19.8082083383072
"117";-38.7390424231888;-18.9672026211971
"118";-38.1595224572958;-18.865004534284
"119";-38.9339012648962;-19.3534497467919
"120";-38.2974398788321;-19.8054401503617
"121";-39.8782519440983;-20.160427700433
"122";-36.6681199061596;-20.3943642806677
"123";-38.0405354568666;-19.185736883151
"124";-38.79960518009;-19.0846430729729
"125";-38.1563654476177;-19.5501992659178
"126";-38.0787076034217;-19.7050520898829
"127";-39.9616406945233;-20.1175439738543
"128";-38.7434921218741;-19.0627334285758
"129";-39.8270836172593;-19.9259395821221
"130";-38.2253590236607;-18.9763280721105
"131";-38.8748842828644;-19.5218673091373
"132";-37.9466481381898;-18.9924942911122
"133";-38.6608456405405;-19.3999155661164
"134";-39.9048369585727;-20.1203954252189
"135";-38.2136504220937;-18.937860894381
"136";-38.1509226725055;-19.5903554763341
"137";-39.9864503220111;-20.1193048287338
"138";-39.9287324738882;-20.0368933173212
"139";-37.9977984756837;-18.9623651174247
"140";-38.0702027677449;-19.8567153688431
"141";-37.9122404744824;-19.7266061122471
"142";-37.7541700861848;-19.807425559313
"143";-38.0548365042076;-19.8891945692516
"144";-38.7074886928515;-19.1434200245478
"145";-39.8607012485647;-20.1795353562045
"146";-38.2469521104226;-19.1985588384037
"147";-38.0927251599747;-19.0840687910824
"148";-37.9670709791789;-19.144951968554
"149";-38.0184928708333;-19.3135452360364
"150";-38.2121965764846;-19.7756998006262
"151";-38.8850213113961;-19.4969981899435
"152";-37.6377853661122;-19.7478787284348
"153";-37.9192157183054;-20.7550865819295
"154";-37.8516344243679;-19.7300372642533
"155";-38.7684450415451;-19.2338012655201
"156";-38.656694829151;-19.5120074038006
