ID;X;Y
117;-37.91499041;-19.06325314
118;-37.43666422;-20.63544262
119;-37.99241095;-19.0302217
120;-37.33868612;-20.578364
121;-38.06591925;-18.98668438
122;-39.52525308;-19.71738868
123;-40.22269746;-20.9593401
124;-38.12097924;-19.69749
125;-38.35841803;-19.31118228
126;-38.24993665;-18.94103072
127;-38.21690402;-18.94791881
128;-38.1817027;-19.93791645
129;-39.44214909;-19.68914575
130;-38.29076085;-19.80820834
131;-38.73904242;-18.96720262
132;-38.15952246;-18.86500453
133;-40.4063056;-21.29857517
134;-40.38375333;-21.36490325
135;-38.93390126;-19.35344975
136;-38.29743988;-19.80544015
137;-39.87825194;-20.1604277
138;-36.66811991;-20.39436428
139;-38.04053546;-19.18573688
140;-38.79960518;-19.08464307
141;-40.61642813;-21.05539362
142;-38.15636545;-19.55019927
143;-38.0787076;-19.70505209
144;-39.96164069;-20.11754397
145;-38.74349212;-19.06273343
146;-40.22082622;-20.77994953
147;-40.38356345;-21.01376321
148;-39.82708362;-19.92593958
149;-38.22535902;-18.97632807
150;-38.87488428;-19.52186731
151;-37.94664814;-18.99249429
152;-38.66084564;-19.39991557
153;-39.90483696;-20.12039543
154;-40.43817063;-21.0793154
155;-38.21365042;-18.93786089
156;-38.15092267;-19.59035548
157;-39.98645032;-20.11930483
158;-39.92873247;-20.03689332
159;-37.99779848;-18.96236512
160;-38.07020277;-19.85671537
161;-37.91224047;-19.72660611
162;-40.22340995;-21.03161911
163;-37.75417009;-19.80742556
164;-40.13928263;-20.75673682
165;-38.0548365;-19.88919457
166;-38.70748869;-19.14342002
167;-39.86070125;-20.17953536
168;-40.21194497;-20.97860855
169;-38.24695211;-19.19855884
170;-38.09272516;-19.08406879
171;-37.96707098;-19.14495197
172;-38.01849287;-19.31354524
173;-38.21219658;-19.7756998
174;-38.88502131;-19.49699819
175;-37.63778537;-19.74787873
176;-37.91921572;-20.75508658
177;-37.85163442;-19.73003726
178;-38.76844504;-19.23380127
179;-38.65669483;-19.5120074
180;-37.79486637;-20.80142609
181;-39.00598582;-19.40678777
182;-38.13382846;-19.56972147
183;-37.87137539;-20.69566526
184;-38.27656531;-19.76009505
185;-37.8170713;-20.72126053
186;-37.63259553;-19.78008437
187;-38.62108641;-19.41169642
188;-38.27699695;-19.21497067
189;-37.98887565;-19.1263627
190;-37.39731577;-20.64647581
191;-40.64620372;-21.00995815
192;-38.32004986;-20.06967166
193;-37.83215357;-20.73638204
194;-37.96863492;-19.71620522
195;-38.58844745;-19.48670402
196;-38.29566565;-19.39208037
197;-40.33032856;-20.78047687
198;-37.96082039;-19.66449773
199;-38.31335422;-18.78374542
200;-38.15299354;-19.94201271
201;-38.65192801;-19.34969577
202;-38.22974018;-19.68148757
203;-39.64803843;-19.80107554
204;-38.29294413;-20.06287572
205;-38.24004919;-19.12844149
206;-40.59729809;-20.90796717
207;-39.38152579;-19.64390104
208;-40.5549383;-21.05599571
209;-40.53119195;-21.01745564
210;-39.47169235;-19.72849057
211;-38.68921776;-19.43035881
212;-37.79435879;-19.77280781
213;-39.51567041;-18.69910922
214;-40.35834048;-21.16128229
215;-37.91739655;-19.75848147
216;-38.82694001;-19.52085626
217;-38.16947738;-20.07796245
218;-38.73898143;-19.36701914
219;-38.97255467;-19.5209651
220;-40.48601123;-20.97604786
221;-37.95326562;-20.67852309
222;-38.00129678;-19.17055888
223;-40.34598753;-21.40794205
224;-38.19873319;-19.33949999
225;-40.31834592;-21.24987733
226;-38.07241739;-19.85481538
227;-38.24782361;-19.15481729
228;-37.87341315;-19.04802285
