"x";"y"
"165";-40.5276098364376;-22.4723152080916
"166";-40.5945265173552;-22.4309680562144
"167";-40.3395101389974;-22.2650733197058
"168";-40.5113745836986;-22.3789425558685
"169";-40.3991137416658;-22.2688100115327
"170";-40.2606514340194;-22.2568242560095
"171";-40.3103077195451;-22.28196180973
"172";-40.4758520295948;-22.4785932587899
"173";-40.2720193412812;-22.3366915400472
"174";-40.4784908164466;-22.4308250660643
"175";-40.3504174958107;-22.3974084442265
"176";-40.28836832036;-22.3699530274146
"177";-40.5396208994191;-22.399772175837
"178";-40.3617857149897;-22.3485783637928
"179";-40.5454235021629;-22.4919726161568
"180";-40.4219795375288;-22.3977206826471
"181";-40.3773324326458;-22.2814050717542
"182";-40.503814044756;-22.2853776275958
"183";-40.2755120101817;-22.3186823392033
"184";-40.4173162613673;-22.3001146249431
"185";-40.4886986775684;-22.4435934349878
"186";-40.3299252678156;-22.3419777658398
"187";-40.4344032780649;-22.3540671703281
"188";-40.0988324434745;-22.2855923058251
"189";-40.4839598106959;-22.3264677441665
"190";-40.1580798026634;-22.2715642537693
"191";-40.5078530717716;-22.3703518965229
"192";-40.4306309452458;-22.4506397531884
"193";-40.6263130704588;-22.5363990669236
"194";-40.3980964518478;-22.25972322213
"195";-40.4181412557703;-22.4321194591708
"196";-40.5235557228607;-22.3007986066959
"197";-40.1594375985991;-22.2928759381101
"198";-40.1824104031844;-22.3172207689598
"199";-40.3704930198229;-22.2649426705775
"200";-40.5469168697613;-22.4341985388818
"201";-40.4464143133853;-22.2918134218447
"202";-40.4514446418463;-22.287640262135
"203";-40.2692522281693;-22.2961342811029
"204";-40.3782685628357;-22.3829177796528
"205";-40.1350596476874;-22.2237998748834
"206";-40.4081866073227;-22.2333705683842
"207";-40.4394845118552;-22.4249587985431
"208";-40.4846968266609;-22.4294669712549
"209";-40.4779849687842;-22.3122726115004
"210";-40.097206827299;-22.2466099640151
"211";-40.4455036871512;-22.2594157009956
"212";-40.414580682332;-22.2557051876226
"213";-40.3475332159569;-22.211541614936
"214";-40.1097000294569;-22.1834976826532
"215";-40.6225044245857;-22.5440070271294
"216";-40.5832833944811;-22.3213601116905
"217";-40.3683290062315;-22.2724210246165
"218";-40.3259219280735;-22.3344636271167
"219";-40.095849467547;-22.2087149793542
"220";-40.5793282970961;-22.4996877426856
"221";-40.618269124655;-22.4151057585433
"222";-40.4333094491354;-22.2785159177349
"223";-40.3794491689607;-22.3189604561766
"224";-40.3216479041247;-22.1949753228365
"225";-40.4155414435544;-22.2630506503335
"226";-40.4555826491917;-22.4524544967632
"227";-40.2538080015792;-22.3140662961843
"228";-40.4300208141055;-22.4539208106183
"229";-40.0768114918458;-22.2775874626538
"230";-40.4704631446856;-22.4142719127368
"231";-40.217094197385;-22.306566509768
"232";-40.5266668544947;-22.5129369189652
"233";-40.1037010503815;-22.192643462487
"234";-40.3300893186014;-22.3440009771024
"235";-40.2508241296543;-22.320114814388
"236";-40.3534903433634;-22.4030620475642
"237";-40.5846788738769;-22.4044098213134
"238";-40.5450337813794;-22.3315007485909
"239";-40.500433986438;-22.4966572485409
"240";-40.5002910356543;-22.28777334908
"241";-40.4304623463627;-22.3965818364432
"242";-40.3932343526674;-22.2325265114535
"243";-40.5016994938074;-22.2956670596573
"244";-40.5332403551382;-22.5267929373786
"245";-40.3036066134982;-22.262931533138
"246";-40.3098092232037;-22.2733852128153
"247";-40.0996504276638;-22.1966564892408
"248";-40.2383583791277;-22.2392550975926
"249";-40.4909579537815;-22.3308346926046
"250";-40.1190480636165;-22.2963808291143
