cv_0;pa;lon;lat;B_CAL_X;B_CV_Max;B_CV_Min;B_Light_Max;B_Light_Min;B_SAL_Max;B_SAL_Min;B_T_Max;B_T_Min
2;1;-47.82295078;1.854421506;5.547954082;0.55044651;0.556798518;4.372432232;25.98246956;36.37379837;35.89560318;28.84107971;25.99583626
3;1;-50.27558903;4.593943966;5.396137714;0.589842618;0.565090895;0;7.211575985;35.9438324;35.23385239;16.89351845;11.14929199
1;1;-48.94167646;3.213615286;5.65730381;0.838459611;0.81412369;0;4.927458763;36.51299286;36.06298828;27.56852341;16.54815102
1;1;-46.09691402;0.847193085;5.47019434;0.475082815;0.632731795;0.010990492;4.673238277;35.87056351;35.33448029;17.95744514;12.62476444
5;1;-45.03016608;-0.101810485;5.629823685;0.570936382;0.764585614;21.46516228;20.66075134;36.60038757;36.08735275;28.6185894;24.20938492
5;1;-44.89088126;0.014425652;5.627112865;0.723066866;0.834572077;0.263115495;8.322231293;36.86018753;36.12121582;27.98496056;21.16868591
1;1;-45.15849683;-0.113560469;5.629784584;0.464637756;0.659600139;13.9163475;18.18262482;36.52671051;35.91609955;28.92647743;25.76257515
3;1;-44.39765471;-0.557945464;5.675704002;0.775357425;0.937242568;0.129053354;8.469544411;36.56090164;36.07978058;28.95283127;25.94075012
3;1;-45.07735472;0.150365789;5.389945984;0.442131996;0.545751929;3.57E-05;1.374486089;35.18466949;34.83420944;12.18019295;8.634015083
4;1;-45.10875103;0.135400072;5.391176224;0.407559544;0.481170595;1.41E-05;0.583506525;34.94992065;34.69573212;10.40572643;7.473107338
3;1;-46.29877069;0.805517915;5.581157207;0.463671595;0.729394019;34.79781723;23.25911331;36.50473404;35.75374603;28.96951294;26.35232353
1;1;-44.8978762;-0.011036844;5.627756119;0.722207665;0.831679642;0.30333212;8.727560997;36.85290146;36.12743759;27.93733406;20.96600151
2;1;-45.18381776;0.181786279;5.39743948;0.344274461;0.405482292;0;0.009801071;34.74348831;34.56326675;8.280123711;6.378957748
5;1;-45.10854168;0.028361531;5.625709057;0.568090498;0.698033154;0.03437046;6.391263962;35.8769722;35.35121918;17.8594799;13.13252163
1;1;-45.07651;-0.217995724;5.633111477;0.568361819;0.816304445;20.10183525;25.0193367;36.50724411;36.0474205;28.85646248;25.62852478
3;1;-45.02097838;0.088337455;5.38432312;0.644915581;0.778078914;0.04926911;4.851410389;36.15823746;35.63781357;21.53835869;14.1970129
1;1;-45.40719696;0.295820496;5.415521145;0.507076561;0.745334268;9.771327972;17.52001953;35.83535004;35.24807358;18.19128036;11.63757324
1;1;-44.35681086;-0.438539385;5.671097755;0.78192234;0.929886878;2.203620672;12.11475182;36.56348419;36.08161926;28.80041885;25.46452522
4;1;-44.23631319;-0.570604346;5.674494267;0.811420977;0.937015772;0.23653914;10.33600807;36.5718689;36.08462906;28.97042656;25.99577904
1;1;-45.36649778;0.086969568;5.622561932;0.524087071;0.684895992;14.71286106;14.54390621;36.01231766;35.43042374;19.87346077;13.71147633
1;1;-45.24925077;0.319284068;5.407104969;0.56539017;0.728640258;17.85351944;23.81957817;35.77126312;35.27837372;17.63767624;11.55992603
4;1;-45.32535884;0.188568694;5.406054497;0.416542858;0.5493204;0.003319072;6.210755348;35.22220612;34.86078262;12.08098698;8.414333344
5;1;-44.85139069;0.021356757;5.372186661;0.72637701;0.850887477;0.373781651;8.332418442;36.86932755;36.11380768;28.09810448;21.94950676
2;1;-44.87504564;0.007033689;5.372947693;0.719927073;0.834606051;0.34186843;9.667274475;36.87586975;36.1097908;28.05785561;21.56555557
2;1;-45.20709639;0.334727765;5.615680218;0.4504565;0.550403357;8.54426384;20.54302979;35.01567459;34.72537613;11.73360443;8.395010948
3;1;-45.24181145;0.163447936;5.400101662;0.350363106;0.417427272;0.001481763;1.685931206;34.76607895;34.57741165;8.546563148;6.503424168
3;1;-45.27288074;0.056641938;5.623997211;0.497261643;0.642807782;0.339213073;7.568615913;35.52151108;35.04720306;14.73217487;9.921095848
2;1;-46.20287455;0.80290114;5.473779678;0.554366112;0.842485011;3.042093277;14.79853344;36.47665024;35.98861694;28.43064117;24.5602169
2;1;-46.31092687;0.837515913;5.579973698;0.507385492;0.759052694;33.37266541;22.97757912;36.47652817;35.8836937;28.87324333;26.16721725
2;1;-46.22335903;0.829331806;5.475709915;0.55622071;0.815790057;8.729260445;16.11777687;36.56616211;35.99330139;28.45451164;23.47445488
1;1;-44.71475938;-0.094434492;5.630643845;0.789045095;0.869781554;0.837998033;5.265852928;36.57214737;35.90633392;23.9005661;16.07038689
3;1;-44.86479364;-0.059175837;5.369772434;0.734678686;0.859744549;0.464039117;11.39127159;36.86578751;36.11294174;27.9205761;21.54736137
2;1;-46.46572598;1.124680784;5.231097698;0.497608751;0.527841151;0.025841102;11.64590168;35.34141541;34.94555664;13.563941;9.597442627
3;1;-45.31322544;-0.037712983;5.626881123;0.444559127;0.635272801;7.460671902;17.77778625;36.46255112;35.94472885;28.57827759;24.80130386
3;1;-44.45274178;-0.680216348;5.643071175;0.797699988;0.928388476;0.007376318;7.660068989;36.56307983;36.08042145;28.80104065;25.36735344
2;1;-44.50735901;-0.733548025;5.644520283;0.769201458;0.893015206;0.059982456;9.753242493;36.56055069;36.07936478;28.95342255;25.83349228
4;1;-44.33112914;-0.471643866;5.672133923;0.780810177;0.931922853;3.35793829;12.99724579;36.56911087;36.08539581;28.88210297;25.7366333
1;1;-45.15875874;0.335991599;5.616072655;0.437621981;0.538869023;3.724634409;11.59925747;35.04859161;34.74505234;11.46880627;8.269266129
5;1;-44.34328068;-0.467281349;5.672094822;0.78055644;0.92744422;2.932114601;12.85952377;36.56743622;36.08412552;28.82272911;25.53610611
3;1;-44.62021841;-0.164545801;5.632657051;0.808523715;0.857598364;0.050968204;2.3652215;36.46454239;35.74348068;23.02756882;15.05977058
3;1;-44.79047879;-0.179829501;5.63266468;0.804325104;0.922950387;0.176773936;8.715809822;36.63381577;36.08731079;24.15099907;15.10980129
5;1;-44.48186166;-0.651198749;5.64288187;0.751884758;0.872124732;0.125827283;9.349429131;36.55849075;36.07870865;28.82339859;25.42971992
5;1;-46.08792085;0.815705454;5.372993946;0.534236252;0.727053761;0.0254947;5.399506092;36.38875198;35.76485443;23.69900131;17.31369209
1;1;-44.67687426;-0.012438173;5.62871933;0.780919433;0.870091796;1.453158975;12.5672245;36.80564117;36.16248703;27.88999939;21.33665085
1;1;-44.755553;-0.939805;5.69013834;0.556094348;0.672237337;0.015952663;14.62485409;36.5137291;35.92348862;29.13089561;26.38128281
4;1;-44.784106;-0.964789;5.413791656;0.479183525;0.596370399;0.100504182;18.55217934;36.49251556;35.84688187;29.17927551;26.54225159
5;1;-44.738896;-0.964789;5.691027641;0.590593398;0.7092399;0.04680866;14.76546288;36.52830887;35.97229385;29.10251045;26.27504539
5;1;-44.756742;-0.954082;5.414156914;0.553604722;0.671738744;0.018307189;15.38716412;36.51448822;35.92353821;29.12924576;26.37002754
1;1;-44.76626;-0.958841;5.414030075;0.529931545;0.648461878;0.039593074;16.57127953;36.50775528;35.89917374;29.14409828;26.41923523
1;1;-46.35972222;1.076666667;5.485634327;0.46887362;0.535743535;4.912363052;11.77639866;35.49979782;35.06534195;13.74882317;8.399799347
3;1;-46.64055556;0.759722222;5.575405598;0.550985992;0.761127234;0.000252431;6.498909473;36.7027092;36.0659256;28.42947769;22.77907753
1;1;-43.98333333;-0.4531;3.246670961;0.547347546;0.449920058;0.283562183;8.433398247;35.32654953;35.04943466;13.67963028;10.77900505
3;1;-44.81;-0.27;5.41774559;0.615012825;0.767368436;2.521603107;16.16957092;36.53264236;36.02577972;28.0650177;23.98265266
2;1;-45.56;0.11;5.619951248;0.571487486;0.80831778;0.629878163;10.18020058;36.71235275;36.06238556;28.39497948;22.86104965
1;1;-42.77131445;-1.936001031;5.23550272;0.395391077;0.514329076;26.67781639;19.28767967;35.94309235;35.49368286;17.73987579;14.21295547
1;1;-42.02463903;-2.352646413;5.681125164;0.231360123;0.761796951;27.53075218;25.88470268;36.49242783;35.83628845;29.10406113;26.21242714
