sp;lon;lat
rodolito;-35.278738;-4.989382822
rodolito;-35.32754347;-4.891094853
rodolito;-35.25014121;-4.978504968
rodolito;-35.04652177;-5.97524781
rodolito;-34.53775206;-7.415517689
rodolito;-35.01005886;-5.969338276
rodolito;-35.27532952;-4.925175552
rodolito;-34.74020749;-6.773081921
rodolito;-34.65000191;-7.500933863
rodolito;-35.25147404;-5.379269255
rodolito;-34.92337751;-6.45046871
rodolito;-34.6870665;-7.871048603
rodolito;-35.35674946;-5.046826709
rodolito;-35.24630812;-5.37914972
rodolito;-34.92133251;-6.118562211
rodolito;-35.04550599;-5.541017412
rodolito;-34.54887151;-7.806212537
rodolito;-35.23416149;-5.435787282
rodolito;-35.05980596;-5.592592529
rodolito;-34.78397577;-6.649069074
rodolito;-34.91293263;-6.389710651
rodolito;-35.10965487;-5.380112521
rodolito;-35.14262688;-5.435816298
rodolito;-35.28349563;-5.373301827
rodolito;-35.13856745;-5.825131134
rodolito;-34.55325488;-7.664797518
rodolito;-35.1538766;-5.24634108
rodolito;-34.76246854;-6.998796357
rodolito;-34.8764578;-6.439525718
rodolito;-35.30454869;-5.157725653
rodolito;-35.30238914;-5.308228619
rodolito;-34.67125539;-7.658978081
rodolito;-34.69429895;-6.896446781
rodolito;-34.58794128;-7.305244776
rodolito;-34.48273289;-7.549004017
rodolito;-34.5831068;-7.813179309
rodolito;-35.18852881;-5.584477684
rodolito;-34.66419011;-6.887644895
rodolito;-34.9925867;-6.066380934
rodolito;-34.64578108;-7.134170915
rodolito;-35.02832266;-6.081978229
rodolito;-35.09240291;-5.80092025
rodolito;-34.8258803;-6.577084572
rodolito;-34.70684782;-7.964787318
rodolito;-34.65517529;-7.559372617
rodolito;-35.34557196;-4.765857482
rodolito;-35.09314914;-5.790258921
rodolito;-35.08033767;-5.409715768
rodolito;-35.07109194;-5.999488412
rodolito;-35.0603098;-6.058781926
rodolito;-34.89013549;-6.43849402
rodolito;-35.30741231;-4.862566336
rodolito;-35.20726512;-5.410249744
rodolito;-34.73261125;-6.788189397
rodolito;-35.25879537;-5.065816451
rodolito;-35.17962637;-4.952214703
rodolito;-34.93290374;-6.167667834
rodolito;-35.2674813;-5.285396289
rodolito;-35.47492094;-4.779618946
rodolito;-34.94893401;-6.091543536
rodolito;-35.12244478;-5.758437745
rodolito;-34.7280916;-7.109097304
rodolito;-34.89283105;-6.267720799
rodolito;-34.90150198;-6.251675274
rodolito;-35.34825251;-5.134365197
rodolito;-34.58489703;-7.541893467
rodolito;-35.25180548;-4.790672504
rodolito;-34.78137161;-6.461869517
rodolito;-35.00964252;-5.872330133
rodolito;-34.73088576;-6.901070609
rodolito;-35.26592391;-4.90137579
rodolito;-35.28247019;-5.163231372
rodolito;-34.64997267;-7.224395026
rodolito;-35.11419541;-5.823935165
rodolito;-34.59266502;-7.839621658
rodolito;-34.69710526;-7.042844435
rodolito;-35.31080426;-5.259785611
rodolito;-34.87054039;-6.414826739
rodolito;-35.20860011;-5.536979737
rodolito;-34.61206497;-7.700678805
rodolito;-35.15918424;-5.167106592
rodolito;-34.60687571;-7.250656673
rodolito;-34.50381728;-7.542967778
rodolito;-34.80223644;-6.523964334
rodolito;-35.24894621;-5.334127256
rodolito;-34.97263778;-6.33862403
rodolito;-34.73491775;-7.068076973
rodolito;-35.11710972;-5.693846226
rodolito;-35.22709291;-5.334269486
rodolito;-35.10937992;-5.621103453
rodolito;-34.95326485;-6.254361635
rodolito;-34.85994813;-6.522778729
rodolito;-34.78899018;-8.372346435
rodolito;-34.71497937;-8.130869252
rodolito;-34.66681541;-8.228392724
rodolito;-34.70371682;-8.260053078
rodolito;-34.85253536;-8.247323916
rodolito;-34.61609038;-8.093656478
rodolito;-34.67335813;-8.208358438
rodolito;-34.81694497;-8.173746902
rodolito;-34.66253307;-8.07406148
rodolito;-34.82080347;-8.363253938
rodolito;-34.73146375;-8.238763332
rodolito;-34.8204757;-8.249813268
rodolito;-34.64365318;-8.028908815
rodolito;-34.73343801;-8.151826158
rodolito;-34.69407451;-8.173103489
rodolito;-34.66136533;-8.060643664
rodolito;-34.67910451;-8.15480889
rodolito;-34.76375405;-8.329335647
rodolito;-34.68960238;-8.154800848
rodolito;-34.64033735;-8.008850396
rodolito;-34.86943712;-8.32263412
rodolito;-34.82966773;-8.344865873
rodolito;-34.81754486;-8.36498837
rodolito;-34.6189208;-8.077777
rodolito;-34.74002875;-8.107489769
rodolito;-34.78459632;-8.22043051
rodolito;-34.67725374;-8.166795027
rodolito;-34.87982195;-8.392993571
rodolito;-34.65103363;-8.095620859
rodolito;-34.68671117;-8.006769317
rodolito;-34.79727562;-8.332608135
rodolito;-34.75493391;-8.274103338
rodolito;-34.85422029;-8.381559358
rodolito;-34.60682429;-8.039371221
rodolito;-34.75086922;-8.215724592
rodolito;-34.65767402;-8.212292015
rodolito;-34.80442963;-8.325922752
rodolito;-34.82833947;-8.361861377
rodolito;-34.65746918;-8.008423662
rodolito;-34.67742247;-8.035700895
rodolito;-34.69598155;-8.106388064
rodolito;-34.86086303;-8.345636588
rodolito;-34.59707278;-8.06546099
rodolito;-34.65438086;-8.179886162
rodolito;-34.8256193;-8.249743793
rodolito;-34.80465236;-8.372488384
rodolito;-34.86762894;-8.391850461
rodolito;-34.74582637;-8.111299915
rodolito;-34.69634176;-8.079439793
rodolito;-34.69681597;-8.054741602
rodolito;-34.77393253;-8.321620842
rodolito;-34.71890519;-8.161744539
rodolito;-34.70698198;-8.327416366
rodolito;-34.86233684;-8.357987852
rodolito;-34.77479312;-8.298051456
rodolito;-34.66438127;-8.096088005
rodolito;-34.82000884;-8.344392635
rodolito;-34.68200975;-8.072496498
rodolito;-34.79782349;-8.245669475
rodolito;-34.6444404;-8.029104941
rodolito;-34.72528189;-8.201832784
rodolito;-34.75989216;-8.20222612
rodolito;-34.69150419;-8.210811706
rodolito;-34.86637821;-8.402971058
rodolito;-34.8536945;-8.406871099
rodolito;-34.59237861;-8.058402889
rodolito;-34.78671085;-8.224010001
rodolito;-34.81811509;-8.371335513
rodolito;-34.80664027;-8.367294656
rodolito;-34.85637861;-8.298693067
rodolito;-34.74406081;-8.264768061
rodolito;-34.68213554;-8.097152374
rodolito;-34.75195723;-8.185264106
rodolito;-34.71658104;-8.272977943
rodolito;-34.79331565;-8.361175177
rodolito;-34.68784338;-8.143823563
rodolito;-34.72529352;-8.236967964
rodolito;-34.82800944;-8.297576768
rodolito;-34.65892594;-8.202515286
rodolito;-34.6594075;-8.108210982
rodolito;-34.74719433;-8.392265655
rodolito;-34.68583469;-8.195427455
rodolito;-34.76776728;-8.290586925
rodolito;-34.80960054;-8.172062381
rodolito;-34.73222326;-8.343528974
rodolito;-34.58983628;-8.053430684
rodolito;-34.83707633;-8.363106876
rodolito;-34.64120471;-8.155482512
rodolito;-34.73354806;-8.176915557
rodolito;-34.72891844;-8.234545948
rodolito;-34.77949989;-8.235125097
rodolito;-34.81683982;-8.300436778
rodolito;-34.73873369;-8.081142814
rodolito;-34.74755622;-8.133993792
rodolito;-34.81690519;-8.269269499
rodolito;-34.70159539;-8.202096646
rodolito;-34.7571902;-8.159703491
rodolito;-34.76203762;-8.375414225
rodolito;-34.76859828;-8.177361955
rodolito;-34.66421273;-8.165674201
rodolito;-32.37611111;-3.849722222
rodolito;-32.39222222;-3.841111111
rodolito;-32.39333333;-3.815833333
rodolito;-32.41638889;-3.876388889
rodolito;-32.44277778;-3.828055556
rodolito;-32.46638889;-3.885277778
rodolito;-32.47083333;-3.866388889
rodolito;-33.21138889;-4.276944444
rodolito;-35.10890556;-5.982825
rodolito;-35.238;-5.414
rodolito;-35.238;-5.395
rodolito;-35.239;-5.388
rodolito;-35.242;-5.379
rodolito;-35.247;-5.405
rodolito;-35.25;-5.423
rodolito;-35.254;-5.401
rodolito;-35.26;-5.355
rodolito;-35.264;-5.421
rodolito;-35.264;-5.407
rodolito;-35.265;-5.352
rodolito;-35.271;-5.426
rodolito;-35.275;-5.351
rodolito;-35.278;-5.403
rodolito;-35.279;-5.435
