Project;X;Y;Ecoregion;Basin;BC region
Kempf1970;-40.74637134;-2.295310031;ER75;CE;
Kempf1970;-39.3392513;-2.692316864;ER75;CE;
Kempf1970;-40.59259318;-2.367472572;ER75;CE;
Kempf1970;-41.5233556;-2.390405489;ER72;CE;
Kempf1970;-39.61392648;-2.425648055;ER75;CE;
Kempf1970;-39.03055566;-2.749382067;ER75;CE;
Kempf1970;-38.62900816;-3.312175191;ER75;CE;
Kempf1970;-38.87872649;-3.147075196;ER75;CE;
Kempf1970;-41.64277064;-2.391037035;ER72;CE;
Kempf1970;-40.33777121;-2.313077933;ER75;CE;
Kempf1970;-40.69035856;-2.332237957;ER75;CE;
Kempf1970;-40.31401401;-2.329656172;ER75;CE;
Kempf1970;-39.51829808;-2.630647889;ER75;CE;
Kempf1970;-39.66522778;-2.535881683;ER75;CE;
Kempf1970;-40.89423564;-2.294454836;ER75;CE;
Kempf1970;-38.62928928;-3.288021254;ER75;CE;
Kempf1970;-39.7230164;-2.397522512;ER75;CE;
Kempf1970;-41.63072022;-2.308612001;ER72;CE;
Kempf1970;-38.62919044;-3.120936889;ER75;CE;
Kempf1970;-39.68795693;-2.321221618;ER75;CE;
Kempf1970;-39.93996829;-2.312430097;ER75;CE;
Kempf1970;-38.91798784;-2.964001074;ER75;CE;
Kempf1970;-39.64464935;-2.35811445;ER75;CE;
Kempf1970;-41.50302941;-2.241211861;ER72;CE;
Kempf1970;-39.36930737;-2.580649399;ER75;CE;
Kempf1970;-39.6433875;-2.346995261;ER75;CE;
Kempf1970;-39.91250734;-2.351917595;ER75;CE;
Kempf1970;-38.85841321;-2.956659621;ER75;CE;
Kempf1970;-38.55590918;-3.178284373;ER75;CE;
Kempf1970;-38.77051685;-3.211895129;ER75;CE;
Kempf1970;-39.45493989;-2.496136913;ER75;CE;
Kempf1970;-38.74082786;-3.007436396;ER75;CE;
Kempf1970;-39.67039904;-2.572011706;ER75;CE;
Kempf1970;-41.59194112;-2.327777444;ER72;CE;
Kempf1970;-41.09866229;-2.338069564;ER75;CE;
Kempf1970;-39.69777682;-2.428166779;ER75;CE;
Kempf1970;-38.75917981;-3.173577364;ER75;CE;
Kempf1970;-39.43696083;-2.659629492;ER75;CE;
Kempf1970;-39.60521668;-2.459462592;ER75;CE;
Kempf1970;-38.49599737;-3.219583018;ER75;CE;
Kempf1970;-38.92642317;-2.849609357;ER75;CE;
Kempf1970;-41.69354864;-2.474326124;ER72;CE;
Kempf1970;-39.16670582;-2.931240369;ER75;CE;
Kempf1970;-38.78231906;-3.224441655;ER75;CE;
Kempf1970;-41.67695551;-2.495829356;ER72;CE;
Kempf1970;-41.68180815;-2.234441415;ER72;CE;
Kempf1970;-38.76545593;-3.244999619;ER75;CE;
Kempf1970;-39.29690096;-2.845511501;ER75;CE;
Kempf1970;-39.1161471;-2.868045093;ER75;CE;
Kempf1970;-39.66633772;-2.573879487;ER75;CE;
Kempf1970;-40.27645307;-2.279330129;ER75;CE;
Kempf1970;-41.07945009;-2.365905374;ER75;CE;
Kempf1970;-39.72066799;-2.31731274;ER75;CE;
Kempf1970;-39.52336315;-2.524861965;ER75;CE;
Kempf1970;-39.30139632;-2.554852198;ER75;CE;
Kempf1970;-41.00788836;-2.397892936;ER75;CE;
Kempf1970;-39.12778586;-2.967442014;ER75;CE;
Kempf1970;-39.31126057;-2.71406407;ER75;CE;
Kempf1970;-37.828;-1.895;ER75;CE;
Kempf1970;-37.84;-1.913;ER75;CE;
Kempf1970;-38.126;-1.657;ER75;CE;
Kempf1970;-38.15;-1.651;ER75;CE;
Kempf1970;-38.298;-2.139;ER75;CE;
