"Aspect_R";"Aspect_S";"B_CV_Max";"B_CV_Min";"B_CV_R";"B_CV_X";"B_CV_Xmax";"B_CV_Xmin";"B_Fe_Max";"B_Fe_Min";"B_Fe_R";"B_Fe_X";"B_Fe_Xmax";"B_Fe_Xmin";"B_Light_Max";"B_Light_Min";"B_Light_R";"B_Light_X";"B_Light_Xmax";"B_Light_Xmin";"B_NIT_Max";"B_NIT_Min";"B_NIT_R";"B_NIT_X";"B_NIT_Xmax";"B_NIT_Xmin";"B_PO4_Max";"B_PO4_Min";"B_PO4_R";"B_PO4_X";"B_PO4_Xmax";"B_PO4_Xmin";"B_SAL_Max";"B_SAL_Min";"B_SAL_R";"B_SAL_X";"B_SAL_Xmax";"B_SAL_Xmin";"B_T_Max";"B_T_Min";"B_T_R";"B_T_X";"B_T_Xmax";"B_T_Xmin";"BAT";"FlowDir";"River";"Roughness";"S_ALKA_X";"S_ARA_X";"S_CAL_X";"S_CO2_X";"Slope_R";"Slope_S";"TPI";"TRI"
"B_Fe_R";-0.0794949594075614;-0.0846830833533797;0.234465648943628;0.572613400743246;0.567101863343343;0.505870427053657;0.365984622732867;0.510694414986183;0.602311607450587;-0.592119071883065;1;-0.199154638157924;0.345435077488513;-0.532033111217239;0.113553255339046;0.305374291028316;0.0368362363128172;0.260453670256102;0.174988336274805;0.309122035403693;-0.834110081155859;-0.760076484945461;-0.640503673664308;-0.801147928141337;-0.8168928304491;-0.785854138095239;-0.843009645148445;-0.788153095055908;-0.48835283488;-0.818394155015183;-0.829892807286385;-0.807940136651482;0.783870320890167;0.770379572021625;0.643973135379021;0.789207527879139;0.790552749736428;0.782213730660584;0.860508911937675;0.866375452764753;0.647720886720833;0.86510136767229;0.8692001731574;0.861799423234511;0.2898952441279;-0.0561990815169083;-0.10762712368603;-0.267306229040727;-0.216456490540157;-0.281218865348973;-0.28267476298932;-0.141245306210057;-0.265400507475501;-0.245180878728644;-0.138960955463126;-0.263827086368654
"B_Fe_X";0.0309536247487139;0.0386975298985676;-0.103933071650227;-0.531274094975822;-0.315682950221763;-0.313506716603152;-0.113979023773004;-0.4358177449901;0.657256901854212;0.902507986893891;-0.199154638157924;1;0.849434453767274;0.933226679325826;0.0818445400036677;0.0735029850886904;0.254872571563965;0.0412741780528451;0.0574551193082026;0.0547452379715812;0.627161274333868;0.703471222337999;-0.0772194171425829;0.669624824163504;0.650910479911919;0.684548593610891;0.618692857873421;0.68172836952332;-0.201304730330947;0.653654403735653;0.639241879578073;0.664130954986252;-0.600842816881796;-0.543612028093684;-0.691513654993513;-0.577687056021679;-0.59055004607913;-0.556773883583073;-0.605628783002585;-0.600577648956937;-0.49680051181771;-0.604212788658302;-0.592507042176021;-0.611413027227563;-0.10401276804021;0.0209287023222167;-0.265130983708492;0.310362208876557;0.143113454198518;0.194273663112771;0.192578639386599;0.0771776205174335;0.305832993535653;0.283655192482517;0.125985537284856;0.304271959784666
"B_Fe_Xmax";-0.0165448225203951;-0.0119961721496462;0.040284592695778;-0.204573499143678;-0.00753984058703085;-0.0287405464056842;0.0976028384624916;-0.147074126384974;0.952608688996002;0.547067235116439;0.345435077488513;0.849434453767274;1;0.607221215844052;0.14914103042375;0.250033065711463;0.269603331870697;0.19323136114048;0.160562751645406;0.233349393254984;0.154262169975289;0.267957181131108;-0.420925422338354;0.213168939048837;0.186434423355458;0.235976717549336;0.140579429665757;0.231317041500487;-0.459797998324167;0.187744746728391;0.167381401121107;0.203720080462619;-0.159452002325362;-0.11240439249598;-0.317980596303253;-0.134026182993186;-0.145670677117135;-0.118059138241686;-0.119352627972876;-0.109556965935152;-0.137144708514792;-0.114793647444866;-0.101838817199961;-0.122989466555502;0.0545546119673113;-0.0156158194521835;-0.313814401688477;0.161234576903658;0.016544911044707;0.0306285656477563;0.0278100246516136;-0.00621863808090409;0.157657762790888;0.146957307383764;0.0469553543138892;0.157068342017904
"B_Fe_Xmin";0.0589074503318983;0.0674049610869946;-0.141202313415255;-0.676917648266487;-0.496791458252803;-0.450911413829422;-0.207678269302112;-0.570536151190157;0.354226769832326;0.996134299419554;-0.532033111217239;0.933226679325826;0.607221215844052;1;0.0589101783850273;-0.018093009033025;0.225463313883359;-0.029336932750816;0.0150220678554716;-0.0354681119114452;0.853068898665897;0.89680297436611;0.149285216267306;0.879992634846941;0.868627465942183;0.888185026298313;0.847848706606085;0.886697481154809;-0.0182981216559562;0.871094772795076;0.861909438427794;0.877197757829018;-0.816417920939831;-0.763095933316621;-0.836458766118595;-0.798081164148592;-0.80920536892663;-0.777751790463214;-0.841543954653119;-0.835184686134305;-0.687382490203907;-0.839926497080219;-0.832469278958133;-0.843916011233644;-0.193262159207002;0.0482830477064322;-0.188473514935915;0.365653066663172;0.192735999919573;0.25989363583595;0.258336974943006;0.106875668028485;0.36093653427668;0.334329303877391;0.161423900675569;0.359103589370336
"B_Light_Max";0.0156521033557119;0.0219915646123397;0.335804535857937;0.0197426260196882;-0.145595330020384;0.129808368525854;0.282548814829188;0.0340429440656958;0.190723142315626;0.0566205838507472;0.113553255339046;0.0818445400036677;0.14914103042375;0.0589101783850273;1;0.893093638236684;0.789260470545031;0.948008201562519;0.98633430717358;0.906778543418148;0.0145272868425001;0.099419529636798;-0.353754825428016;0.0559371927112774;0.0374107136826977;0.0725036869615265;-0.00271640997433565;0.0717957886672169;-0.404364915363046;0.0336214496724594;0.0164679947954114;0.048666696511916;-0.0651153302940099;-0.063988535321151;-0.053519637013102;-0.0571075148751586;-0.0551036243995497;-0.0554704721472157;-0.0018584339086535;0.0437391068269442;-0.20476930194627;0.016375232726967;0.00892158980317506;0.0254097323611226;0.112802694381326;0.143120526874891;0.156328539916293;0.13943858845277;-0.105032715750817;-0.0952750199970857;-0.102532054920996;-0.0848111904346456;0.135401234931734;0.134538836223152;0.00623574540188129;0.138580593809754
"B_Light_Min";0.00641922944332573;0.00753942113469888;0.480785310988414;0.0756010340314892;-0.0975899144464838;0.241038238997394;0.443310532067619;0.0913418581333315;0.333107984457002;-0.029966425770769;0.305374291028316;0.0735029850886904;0.250033065711463;-0.018093009033025;0.893093638236684;1;0.752516108719671;0.981959745766477;0.943047602715665;0.996088957147291;-0.130965378642218;-0.022543355694481;-0.510428096337837;-0.0769091340234404;-0.101602254836069;-0.0550740557803831;-0.153492286995375;-0.0589949270011509;-0.546836367966474;-0.106909920608209;-0.12957592061322;-0.0872827364797919;0.0451308059151781;0.0330110180834161;0.0849511060658417;0.0506325537836483;0.0576175574067446;0.0450773896966846;0.159665363005939;0.219238512423639;-0.140592830811141;0.182227468025143;0.172678747850708;0.194237711321525;0.224367931185206;0.108247014160455;-0.00585861731564122;0.0602132016941629;-0.152450311390748;-0.168550671958661;-0.178174324687612;-0.147162548688075;0.0553722707703419;0.0581813958696173;-0.0259772963983055;0.0597206594371874
"B_Light_R";0.0387757725687046;0.0412521738382678;0.16360554756397;-0.175388643532792;-0.22021343977962;-0.0680003665574199;0.110398854602813;-0.151047804850295;0.258341142106093;0.216764570628182;0.0368362363128172;0.254872571563965;0.269603331870697;0.225463313883359;0.789260470545031;0.752516108719671;1;0.772688320147602;0.793066223330408;0.748854016466594;0.151902636081851;0.230647435043181;-0.273864382854046;0.190682089744817;0.174108572207915;0.205383386437538;0.139982068496454;0.206680871569905;-0.329677705189702;0.173724803255396;0.159214267404659;0.186042940040632;-0.170507700516724;-0.170559347641329;-0.127473304741093;-0.168391743554492;-0.164788012779548;-0.169103807778362;-0.138056456101153;-0.108427970259534;-0.240224170850551;-0.128066215765764;-0.13051194024376;-0.123264081425256;0.165752325447454;0.143126475528392;-0.00296602158069856;0.182919327100351;0.0176955694683205;-0.0108070353312478;-0.0143005321783271;-0.0195838292041422;0.180975211058896;0.177693925723657;0.0695402441008242;0.184190901896624
"B_Light_X";0.00644408776547774;0.00948575923456086;0.432344883476431;0.0800962061782351;-0.0982908206775461;0.214401044642434;0.391123695388935;0.0893979705304901;0.271523636018195;-0.038175357560091;0.260453670256102;0.0412741780528451;0.19323136114048;-0.029336932750816;0.948008201562519;0.981959745766477;0.772688320147602;1;0.984246208824702;0.989648424762982;-0.112706505599395;-0.0123633730159329;-0.469061691778736;-0.0630859461519696;-0.085429342415933;-0.0432270458063169;-0.13345192110646;-0.045819299728121;-0.505096261180338;-0.0903539545692322;-0.111046956568575;-0.0723106221582035;0.0361448698131745;0.0245155362332686;0.0761516479473271;0.0411969693918562;0.0468939137689411;0.036805241228393;0.133232684627662;0.188657283156203;-0.142794825613452;0.15411674685025;0.144875898755545;0.165592774950986;0.188540341119952;0.12909864892763;0.0735267164526851;0.0769167933746382;-0.137098644232261;-0.153156560321206;-0.161469050913823;-0.121553311443017;0.0722925966885152;0.0749391695660455;-0.023297414703573;0.0761724512772878
"B_Light_Xmax";0.016166369701065;0.0210123761362661;0.367983788108539;0.0465539523497076;-0.126494898962746;0.160071605401522;0.320034786927407;0.0575118240001072;0.21768251116909;0.0100599842921366;0.174988336274805;0.0574551193082026;0.160562751645406;0.0150220678554716;0.98633430717358;0.943047602715665;0.793066223330408;0.984246208824702;1;0.954051281967067;-0.0417531638159732;0.0489528095970919;-0.400437271506096;0.0027676919204392;-0.0171176354881695;0.0204845308613289;-0.0602515192548978;0.0192748886705562;-0.444577793652954;-0.0212520888270275;-0.0397307418024655;-0.00509982384398295;-0.0183372364404641;-0.0243244797082601;0.0115375290244396;-0.0125855074906984;-0.00865026826206204;-0.0140560393349995;0.0568058836291609;0.1061951300572;-0.175735038242127;0.0755185045633292;0.0672950128213468;0.085723217570644;0.146822926205957;0.144008613860341;0.121885112762243;0.108521127050813;-0.111232424175978;-0.113470679629338;-0.120878772551611;-0.089090511713509;0.104385212469877;0.10530375793081;-0.00530373285291868;0.107856983038079
"B_Light_Xmin";0.0051444040854126;0.00675103382409875;0.481599306761737;0.107310335741665;-0.0816041179006587;0.265629948506433;0.450627700500497;0.122511710077986;0.320358620257261;-0.047312465383092;0.309122035403693;0.0547452379715812;0.233349393254984;-0.0354681119114452;0.906778543418148;0.996088957147291;0.748854016466594;0.989648424762982;0.954051281967067;1;-0.146581389024434;-0.0393422547274756;-0.511542105102184;-0.0933271399387863;-0.117524928488062;-0.0719205328683469;-0.169034734525002;-0.0756189056550263;-0.54449948690795;-0.123124925489367;-0.145365371264021;-0.103837978323062;0.058068778223509;0.0461493808734442;0.093794501196028;0.063598601181254;0.0700664381530624;0.0584670802361338;0.17420731437748;0.232104234353517;-0.121730678661836;0.196300142430779;0.186938957211891;0.207964478335239;0.216360801726879;0.118062190598615;0.0324480186538692;0.0602389493523194;-0.173552437790323;-0.186714797111244;-0.195993633628481;-0.164773537134293;0.0548266358786402;0.058345785650664;-0.0393561690809043;0.059215266694853
"B_NIT_Max";0.0868206365007928;0.0951985242189882;-0.0923509453349948;-0.773973658180126;-0.66953839121167;-0.570680169404969;-0.245460954784305;-0.68916959217769;-0.114002245784072;0.886033102791194;-0.834110081155859;0.627161274333868;0.154262169975289;0.853068898665897;0.0145272868425001;-0.130965378642218;0.151902636081851;-0.112706505599395;-0.0417531638159732;-0.146581389024434;1;0.978398597449997;0.483536076926047;0.994682437593118;0.998349087982253;0.989343252592491;0.999304670077494;0.987942749143013;0.288106409364541;0.99708560972229;0.999013676408071;0.99391457543209;-0.964334042068499;-0.944343072389619;-0.806555731115323;-0.961595491177924;-0.96457984036148;-0.952379204134121;-0.989901480854177;-0.985197982702079;-0.796180916266702;-0.988518509348101;-0.988709712117346;-0.987711100351868;-0.27051551924243;0.0688312103735257;-0.0993440018494964;0.345089747664737;0.195178317913963;0.249172804393803;0.248377767656805;0.119442229060598;0.342588742947042;0.314712133233947;0.186665699835868;0.340128057977246
